Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/util_fmcjesdadc1_xcvr_rx_out_clk_0,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_data[63:0],i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_en,i_system_wrapper/system_i/axi_ad9250_cpack_packed_fifo_wr_sync,i_system_wrapper/system_i/axi_ad9250_core_adc_clk,i_system_wrapper/system_i/axi_ad9250_core_rx_ready,i_system_wrapper/system_i/axi_ad9250_core_adc_valid_a,i_system_wrapper/system_i/axi_ad9250_dma_irq,i_system_wrapper/system_i/sys_concat_intc_dout[15:0],data_a_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_a[31:0],data_a_high[13:0],data_b_high[31:0],data_b_low[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_b[31:0],data_b_high'[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED,HEX,SIGNED
157,157,0,0,fae80530fb7b04a1,1,1,0,1,1,1,1000,1522,068105f2,1665,f99dfa2e,-1490,f99dfa2e,-1635
158,158,0,0,f99d0681fa2e05f2,1,1,0,1,1,1,1000,1817,07ba0719,1978,f865f907,-1785,f865f907,-1947
159,159,0,0,f86507baf9070719,1,1,0,1,1,1,1000,2120,08ed0848,2285,f739f7dc,-2084,f739f7dc,-2247
160,160,0,0,f73908edf7dc0848,1,1,0,1,1,1,1000,2442,0a0b098a,2571,f61cf69b,-2405,f61cf69b,-2532
161,161,0,0,f61c0a0bf69b098a,1,1,0,1,1,1,1000,2743,0b480ab7,2888,f4e7f573,-2701,f4e7f573,-2841
162,162,0,0,f4e70b48f5730ab7,1,1,0,1,1,1,1000,3004,0c4e0bbc,3150,f3e4f472,-2958,f3e4f472,-3100
163,163,0,0,f3e40c4ef4720bbc,1,1,0,1,1,1,1000,3283,0d660cd3,3430,f2caf35c,-3236,f2caf35c,-3382
164,164,0,0,f2ca0d66f35c0cd3,1,1,0,1,1,1,1000,3542,0e3d0dd6,3645,f1f7f25c,-3492,f1f7f25c,-3593
165,165,0,0,f1f70e3df25c0dd6,1,1,0,1,1,1,1000,3782,0f2a0ec6,3882,f108f172,-3726,f108f172,-3832
166,166,0,0,f1080f2af1720ec6,1,1,0,1,1,1,1000,4020,101b0fb4,4123,f01ef084,-3964,f01ef084,-4066
167,167,0,0,f01e101bf0840fb4,1,1,0,1,1,1,1000,4247,10da1097,4314,ef5defa2,-4190,ef5defa2,-4259
168,168,0,0,ef5d10daefa21097,1,1,0,1,1,1,1000,4412,11ae113c,4526,ee8ceefc,-4356,ee8ceefc,-4468
169,169,0,0,ee8c11aeeefc113c,1,1,0,1,1,1,1000,4581,124d11e5,4685,edeeee56,-4522,edeeee56,-4626
170,170,0,0,edee124dee5611e5,1,1,0,1,1,1,1000,4771,12e712a3,4839,ed5aed9e,-4706,ed5aed9e,-4774
171,171,0,0,ed5a12e7ed9e12a3,1,1,0,1,1,1,1000,4900,135e1324,4958,ece4ed1c,-4836,ece4ed1c,-4892
172,172,0,0,ece4135eed1c1324,1,1,0,1,1,1,1000,5027,13da13a3,5082,ec68eca0,-4960,ec68eca0,-5016
173,173,0,0,ec6813daeca013a3,1,1,0,1,1,1,1000,5125,14391405,5177,ec09ec40,-5056,ec09ec40,-5111
174,174,0,0,ec091439ec401405,1,1,0,1,1,1,1000,5210,1478145a,5240,ebccebe7,-5145,ebccebe7,-5172
