Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/util_fmcjesdadc1_xcvr_rx_out_clk_0,i_system_wrapper/system_i/axi_ad9250_core_adc_data_a[31:0],data_a_high[13:0],i_system_wrapper/system_i/axi_ad9250_core_adc_data_b[31:0],i_system_wrapper/system_i/axi_ad9250_core_rx_ready,i_system_wrapper/system_i/axi_ad9250_core_adc_clk,i_system_wrapper/system_i/axi_ad9250_core_adc_valid_a
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED,HEX,HEX,HEX,HEX
179,179,0,0,fff6ff8f,-10,001a0082,1,0,1
180,180,0,0,00aa006f,170,ff66ffa3,1,0,1
181,181,0,0,00270091,39,ffedff85,1,0,1
182,182,0,0,ff71ffad,-143,009d005f,1,0,1
183,183,0,0,fff7ff8f,-9,001d0082,1,0,1
184,184,0,0,00ac006c,172,ff64ffa5,1,0,1
185,185,0,0,0026008e,38,ffedff84,1,0,1
186,186,0,0,ff71ffaf,-143,009f0062,1,0,1
187,187,0,0,fff6ff8b,-10,001d0084,1,0,1
188,188,0,0,00ac006f,172,ff66ffa5,1,0,1
189,189,0,0,0022008e,34,ffecff82,1,0,1
190,190,0,0,ff71ffaf,-143,00a10063,1,0,1
191,191,0,0,fffbff8d,-5,00170084,1,0,1
192,192,0,0,00ac0070,172,ff63ffa0,1,0,1
193,193,0,0,0024008d,36,ffedff82,1,0,1
194,194,0,0,ff6fffae,-145,00a20060,1,0,1
195,195,0,0,fff9ff8e,-7,001b0084,1,0,1
196,196,0,0,00ac006c,172,ff66ffa4,1,0,1
197,197,0,0,0022008d,34,ffeeff85,1,0,1
198,198,0,0,ff70ffb1,-144,009f0061,1,0,1
199,199,0,0,fff9ff90,-7,001b0082,1,0,1
200,200,0,0,00af006d,175,ff63ffa4,1,0,1
201,201,0,0,0023008d,35,ffeeff84,1,0,1
202,202,0,0,ff6dffaf,-147,00a0005f,1,0,1
203,203,0,0,fff9ff90,-7,001a0081,1,0,1
204,204,0,0,00aa006b,170,ff64ffa5,1,0,1
205,205,0,0,0026008a,38,ffedff85,1,0,1
206,206,0,0,ff6fffb0,-145,00a20062,1,0,1
207,207,0,0,fff8ff8d,-8,001a0080,1,0,1
208,208,0,0,00ad006e,173,ff67ffa4,1,0,1
209,209,0,0,0024008e,36,ffedff87,1,0,1
210,210,0,0,ff70ffb0,-144,009e0062,1,0,1
211,211,0,0,fff8ff8f,-8,00180081,1,0,1
212,212,0,0,00ac0071,172,ff65ffa1,1,0,1
213,213,0,0,00270090,39,ffecff85,1,0,1
214,214,0,0,ff71ffab,-143,00a10063,1,0,1
215,215,0,0,fff7ff8d,-9,00160084,1,0,1
216,216,0,0,00ac006e,172,ff66ffa1,1,0,1
217,217,0,0,0025008e,37,ffecff84,1,0,1
218,218,0,0,ff72ffae,-142,00a00064,1,0,1
219,219,0,0,fff7ff8f,-9,001c0080,1,0,1
220,220,0,0,00ac0072,172,ff64ffa2,1,0,1
221,221,0,0,0025008c,37,ffedff82,1,0,1
222,222,0,0,ff72ffac,-142,00a00061,1,0,1
223,223,0,0,fff8ff8b,-8,001a0082,1,0,1
224,224,0,0,00ad006f,173,ff65ffa1,1,0,1
225,225,0,0,0024008d,36,ffedff86,1,0,1
226,226,0,0,ff6effaf,-146,009f0064,1,0,1
227,227,0,0,fff8ff8f,-8,00160083,1,0,1
228,228,0,0,00ae006e,174,ff65ffa2,1,0,1
229,229,0,0,0027008d,39,ffeeff83,1,0,1
230,230,0,0,ff72ffac,-142,00a10065,1,0,1
231,231,0,0,fff7ff91,-9,001b0084,1,0,1
232,232,0,0,00af0072,175,ff65ffa2,1,0,1
233,233,0,0,0023008d,35,ffedff83,1,0,1
234,234,0,0,ff70ffb0,-144,00a30062,1,0,1
235,235,0,0,fff8ff8d,-8,00190085,1,0,1
236,236,0,0,00ad006f,173,ff66ffa6,1,0,1
237,237,0,0,0027008f,39,ffedff84,1,0,1
238,238,0,0,ff6fffae,-145,009f0062,1,0,1
239,239,0,0,fff6ff8e,-10,00180081,1,0,1
240,240,0,0,00ad006f,173,ff66ffa3,1,0,1
241,241,0,0,0026008e,38,ffebff83,1,0,1
242,242,0,0,ff72ffb0,-142,00a10061,1,0,1
243,243,0,0,fff7ff8d,-9,00190081,1,0,1
244,244,0,0,00ad006f,173,ff67ffa3,1,0,1
245,245,0,0,0026008e,38,ffebff82,1,0,1
246,246,0,0,ff71ffb1,-143,00a00062,1,0,1
247,247,0,0,fff8ff8d,-8,00190082,1,0,1
248,248,0,0,00af006f,175,ff66ffa4,1,0,1
249,249,0,0,0024008e,36,ffeeff83,1,0,1
250,250,0,0,ff6cffb0,-148,00a20063,1,0,1
251,251,0,0,fff9ff8e,-7,00170081,1,0,1
